GEOGRAPHY,YEAR,VIOLATIONS,INCIDENTS,RATES
"Richmond County, Nova Scotia, Royal Canadian Mounted Police, rural [12016]",2010,"Possession, cocaine [4120]",0,0
"Richmond County, Nova Scotia, Royal Canadian Mounted Police, rural [12016]",2010,"Total, possession, other Controlled Drugs and Substances Act drugs [410]",1,10.43
"Richmond County, Nova Scotia, Royal Canadian Mounted Police, rural [12016]",2010,"Total cannabis, trafficking, production or distribution (pre-legalization) [420]",18,187.68
"Richmond County, Nova Scotia, Royal Canadian Mounted Police, rural [12016]",2010,"Total cocaine, trafficking, production or distribution [430]",4,41.71
"Richmond County, Nova Scotia, Royal Canadian Mounted Police, rural [12016]",2010,"Total other Controlled Drugs and Substances Act drugs, trafficking, production or distribution [440]",2,20.85
"Membertou, Nova Scotia, Royal Canadian Mounted Police, rural [12017]",2010,Homicide [110],,
"Membertou, Nova Scotia, Royal Canadian Mounted Police, rural [12017]",2010,Attempted murder [1210],,
"Membertou, Nova Scotia, Royal Canadian Mounted Police, rural [12017]",2010,"Sexual assault, level 3, aggravated [1310]",,
"Membertou, Nova Scotia, Royal Canadian Mounted Police, rural [12017]",2010,"Sexual assault, level 2, weapon or bodily harm [1320]",,
"Membertou, Nova Scotia, Royal Canadian Mounted Police, rural [12017]",2010,"Sexual assault, level 1 [1330]",,
"Membertou, Nova Scotia, Royal Canadian Mounted Police, rural [12017]",2010,Total sexual violations against children [130],,
"Membertou, Nova Scotia, Royal Canadian Mounted Police, rural [12017]",2010,"Assault, level 3, aggravated [1410]",,
"Membertou, Nova Scotia, Royal Canadian Mounted Police, rural [12017]",2010,"Assault, level 2, weapon or bodily harm [1420]",,
"Membertou, Nova Scotia, Royal Canadian Mounted Police, rural [12017]",2010,"Assault, level 1 [1430]",,
"Membertou, Nova Scotia, Royal Canadian Mounted Police, rural [12017]",2010,Total robbery [160],,
"Membertou, Nova Scotia, Royal Canadian Mounted Police, rural [12017]",2010,Total breaking and entering [210],,
"Membertou, Nova Scotia, Royal Canadian Mounted Police, rural [12017]",2010,Total theft of motor vehicle [220],,
"Membertou, Nova Scotia, Royal Canadian Mounted Police, rural [12017]",2010,Total impaired driving [910],,
"Membertou, Nova Scotia, Royal Canadian Mounted Police, rural [12017]",2010,Total Drug violations [401],,
"Membertou, Nova Scotia, Royal Canadian Mounted Police, rural [12017]",2010,"Possession, cocaine [4120]",,
"Membertou, Nova Scotia, Royal Canadian Mounted Police, rural [12017]",2010,"Total, possession, other Controlled Drugs and Substances Act drugs [410]",,
